sampleID,mouse,sex,tissue,timepoint,technician
ENC4_453_RM,B6CASTF1,Male,Cortex,PND_14,RM
ENC4_455_RM,B6CASTF1,Female,Cortex,PND_14,RM
ENC4_465_RM,B6CASTF1,Male,Cortex,PNM_02,RM
ENC4_467_RM,B6CASTF1,Female,Cortex,PNM_02,RM
ENC4_453_SB,B6CASTF1,Male,Cortex,PND_14,SB
ENC4_455_SB,B6CASTF1,Female,Cortex,PND_14,SB
ENC4_465_SB,B6CASTF1,Male,Cortex,PNM_02,SB
ENC4_467_SB,B6CASTF1,Female,Cortex,PNM_02,SB
ENC4_453_NM,B6CASTF1,Male,Cortex,PND_14,NM
ENC4_455_NM,B6CASTF1,Female,Cortex,PND_14,NM
ENC4_465_NM,B6CASTF1,Male,Cortex,PNM_02,NM
ENC4_467_NM,B6CASTF1,Female,Cortex,PNM_02,NM